response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0098,0.0082,0.0053,0.0002,0.0010,0.0002,400,0.0023
0.0082,0.0076,0.0061,0.0001,0.0003,0.0000,400,0.0042
0.0092,0.0070,0.0038,0.0001,0.0019,0.0000,400,0.0034
0.0097,0.0083,0.0034,0.0000,0.0012,0.0000,400,0.0032
0.0120,0.0102,0.0057,0.0001,0.0013,0.0000,400,0.0010
0.0118,0.0098,0.0057,0.0001,0.0018,0.0000,400,0.0014
0.0096,0.0060,0.0048,0.0007,0.0028,0.0000,400,0.0038
0.0111,0.0080,0.0056,0.0010,0.0014,0.0006,400,0.0023
0.0103,0.0068,0.0044,0.0007,0.0027,0.0000,400,0.0035
0.0121,0.0087,0.0053,0.0001,0.0030,0.0000,400,0.0019
0.0108,0.0076,0.0035,0.0001,0.0029,0.0001,400,0.0034
0.0120,0.0079,0.0057,0.0008,0.0032,0.0000,400,0.0025
0.0113,0.0000,0.0000,0.0000,0.0006,0.0001,400,0.0033
0.0122,0.0000,0.0000,0.0000,0.0019,0.0000,400,0.0026
0.0121,0.0000,0.0000,0.0001,0.0018,0.0000,400,0.0028
0.0123,0.0000,0.0000,0.0000,0.0018,0.0000,400,0.0029
0.0123,0.0000,0.0000,0.0000,0.0016,0.0000,400,0.0030
0.0105,0.0000,0.0000,0.0000,0.0003,0.0000,400,0.0051
0.0140,0.0078,0.0060,0.0007,0.0047,0.0001,400,0.0017
0.0149,0.0089,0.0052,0.0001,0.0049,0.0000,400,0.0011
0.0125,0.0082,0.0055,0.0002,0.0039,0.0000,400,0.0035
0.0125,0.0080,0.0058,0.0002,0.0040,0.0000,400,0.0036
0.0123,0.0081,0.0051,0.0000,0.0040,0.0000,400,0.0040
0.0139,0.0000,0.0000,0.0000,0.0039,0.0000,400,0.0026
0.0143,0.0000,0.0061,0.0001,0.0042,0.0000,400,0.0025
0.0125,0.0000,0.0000,0.0001,0.0010,0.0000,400,0.0045
0.0107,0.0000,0.0000,0.0000,0.0011,0.0000,400,0.0063
0.0107,0.0000,0.0000,0.0000,0.0009,0.0000,400,0.0065
0.0130,0.0000,0.0000,0.0000,0.0028,0.0000,400,0.0042
0.0137,0.0000,0.0000,0.0000,0.0034,0.0000,400,0.0038
0.0133,0.0000,0.0000,0.0000,0.0026,0.0000,400,0.0043
0.0149,0.0000,0.0000,0.0001,0.0036,0.0000,400,0.0029
0.0088,0.0000,0.0000,0.0000,0.0006,0.0000,400,0.0093
