
duration (ms),status,error
14.37,OK,
9.24,OK,
7.91,OK,
8.68,OK,
14.88,OK,
9.43,OK,
7.56,OK,
10.01,OK,
7.92,OK,
15.31,OK,
12.03,OK,
16.53,OK,
10.39,OK,
12.47,OK,
9.63,OK,
8.83,OK,
11.76,OK,
12.08,OK,
10.68,OK,
19.27,OK,
3.95,OK,
15.02,OK,
4.40,OK,
20.02,OK,
4.86,OK,
21.65,OK,
20.98,OK,
17.71,OK,
21.01,OK,
6.38,OK,
4.06,OK,
6.34,OK,
6.88,OK,
22.43,OK,
6.91,OK,
20.96,OK,
21.83,OK,
22.73,OK,
8.65,OK,
23.11,OK,
8.25,OK,
7.12,OK,
21.52,OK,
20.75,OK,
5.85,OK,
6.12,OK,
8.23,OK,
6.12,OK,
25.26,OK,
21.90,OK,
25.84,OK,
25.49,OK,
8.20,OK,
4.88,OK,
7.95,OK,
7.11,OK,
5.00,OK,
26.96,OK,
5.34,OK,
24.03,OK,
24.99,OK,
5.08,OK,
7.70,OK,
5.69,OK,
6.05,OK,
28.20,OK,
6.09,OK,
7.97,OK,
6.14,OK,
8.22,OK,
5.10,OK,
26.80,OK,
6.03,OK,
6.54,OK,
6.62,OK,
6.19,OK,
6.61,OK,
4.41,OK,
28.44,OK,
9.26,OK,
6.29,OK,
28.78,OK,
6.15,OK,
9.29,OK,
6.62,OK,
28.45,OK,
5.77,OK,
9.49,OK,
6.34,OK,
28.88,OK,
6.94,OK,
31.08,OK,
7.32,OK,
7.01,OK,
6.71,OK,
6.58,OK,
31.27,OK,
8.94,OK,
4.70,OK,
9.06,OK,
1.31,OK,
9.15,OK,
9.80,OK,
9.12,OK,
9.61,OK,
9.07,OK,
7.12,OK,
7.30,OK,
3.81,OK,
6.80,OK,
9.57,OK,
5.75,OK,
6.90,OK,
5.97,OK,
9.55,OK,
6.24,OK,
9.88,OK,
6.27,OK,
9.91,OK,
8.81,OK,
9.77,OK,
9.08,OK,
12.86,OK,
10.28,OK,
11.22,OK,
14.15,OK,
14.51,OK,
14.69,OK,
12.38,OK,
12.90,OK,
15.03,OK,
12.30,OK,
15.36,OK,
13.86,OK,
15.69,OK,
15.72,OK,
8.76,OK,
15.91,OK,
9.38,OK,
15.96,OK,
9.08,OK,
16.23,OK,
9.26,OK,
9.94,OK,
13.90,OK,
9.49,OK,
13.91,OK,
14.00,OK,
10.15,OK,
13.53,OK,
14.05,OK,
10.79,OK,
5.23,OK,
10.02,OK,
9.47,OK,
9.24,OK,
13.86,OK,
7.06,OK,
13.50,OK,
19.06,OK,
7.41,OK,
15.01,OK,
7.40,OK,
5.18,OK,
7.56,OK,
4.58,OK,
15.16,OK,
9.27,OK,
6.96,OK,
15.30,OK,
7.55,OK,
6.94,OK,
15.44,OK,
7.80,OK,
7.14,OK,
7.03,OK,
15.69,OK,
10.13,OK,
7.15,OK,
8.10,OK,
15.80,OK,
7.18,OK,
8.24,OK,
15.97,OK,
7.18,OK,
8.40,OK,
7.32,OK,
15.77,OK,
8.27,OK,
15.97,OK,
7.53,OK,
8.66,OK,
15.93,OK,
7.64,OK,
16.18,OK,
7.89,OK,
21.42,OK,
14.57,OK,
21.69,OK,
7.93,OK,
8.13,OK,
6.75,OK,
7.31,OK,
7.15,OK,
7.05,OK,
7.59,OK,
7.22,OK,
8.49,OK,
7.68,OK,
8.66,OK,
7.77,OK,
8.23,OK,
7.91,OK,
8.76,OK,
8.77,OK,
8.71,OK,
9.86,OK,
10.54,OK,
3.85,OK,
9.30,OK,
10.38,OK,
11.28,OK,
10.37,OK,
11.99,OK,
10.55,OK,
11.80,OK,
10.62,OK,
12.45,OK,
